45542:17,302,654,76,616,58,8,866,84,29
45697:7680,224,2241,2531,3632,1991,761,380,297,17
46483:17,254,358,361,7194,4932,2139,302,654,76
39528:102004,17,302,654,76,616,58,8,866,84
46368:25913,17,302,654,76,616,58,8,866,84
23433:650,1762,431,891,398,2162,692,2172,86,73
32977:3847,18124,13948,12133,10028,9594,6708,6552,4932,4146
18639:17,1762,1140,97,1109,780,358,1086,873,5581
16530:41961,17,2557,8873,1382,999,131,402,656,189
31545:301,5567,1508,1558,2030,1987,1471,1276,496,1764
23458:17,1243,302,654,76,616,58,8,866,84
2501:162,17,3028,4627,3522,1220,3841,6691,7620,2769
19433:1243,17,302,654,76,616,58,8,866,84
13432:1572,17,1649,30094,27977,27500,21438,1896,2046,2160
47579:866,17,302,654,76,616,58,8,84,29
6724:17,2059,1595,1039,1009,302,654,76,616,58
42179:17,2447,1348,1287,398,302,654,76,616,58
5438:4205,4032,1186,262,1762,431,891,398,1187,2162
35969:301,8009,5363,17,302,654,76,616,58,8
2615:76,1424,530,2185,5542,6011,2953,4996,1567,1866
25991:669,17,302,654,76,616,58,8,866,84
44151:301,1240,5567,6,17,302,654,76,616,58
48158:40152,17,302,654,76,616,58,8,866,84
24468:17,5398,302,654,76,616,58,8,866,84
38878:2097,17,749,1243,645,946,230,2100,2618,8483
13526:301,1243,447,17,302,654,76,616,58,8
19050:17,302,654,76,616,58,8,866,84,29
1435:967,1930,3704,1424,530,2185,5542,6011,4996,1567
9613:17,2403,2714,2696,1827,10985,813,774,14237,3522
30927:749,866,486,1890,162,430,2018,633,5575,4904
8850:4755,4536,17,302,654,76,616,58,8,866
3126:891,17,302,654,76,616,58,8,866,84
50974:226,813,4422,8066,7548,5103,4856,4697,13917,3476
14822:17,1243,8115,302,654,76,616,58,8,866
39662:1243,17,302,654,76,616,58,8,866,84
7976:17,1243,15914,965,813,2917,5237,13501,12872,12811
10570:303,8109,8,1424,530,2185,5542,6011,2953,4996
19355:698,10610,17,302,654,76,616,58,8,866
10111:736,472,5575,4174,3223,4414,1305,179,1937,495
12754:301,2917,2715,7180,5468,4308,8860,2888,2869,8009
10313:3233,5928,3824,224,2338,2557,8873,861,1205,285
45909:17,12066,9035,7360,7009,5413,4499,4328,4223,3292
12841:669,2917,1243,1161,813,17,302,654,76,616
10276:454,669,596,944,3,2512,1832,813,273,1578
17731:6503,1243,11579,18892,18239,17925,17131,16508,15928,15442
39940:301,1243,17,302,654,76,616,58,8,866
33998:54357,17,5363,4414,17265,14750,14129,14003,13948,13863
28031:3137,17,965,2200,94,4627,430,3522,3028,947
38736:17426,8,17,302,654,76,616,58,866,84
29525:17,302,654,76,616,58,8,866,84,29
238:42397,26712,710,5567,1508,1558,2030,1987,1471,1276
9389:17,1243,302,654,76,616,58,8,866,84
2469:559,947,1424,530,2185,5542,6011,2953,4996,1567
35456:500,17,302,654,76,616,58,8,866,84
25989:669,224,17,302,654,76,616,58,8,866
8513:11,7145,30316,224,803,493,268,2937,1822,2140
15496:832,669,1243,965,5975,603,17,302,654,76
1245:65,302,6450,596,875,1578,97,1057,358,496
21476:2139,17,302,654,76,616,58,8,866,84
22213:17,10610,302,654,76,616,58,8,866,84
10155:1410,5303,5582,17,5998,422,908,4904,73,3223
13375:2703,17,302,654,76,616,58,8,866,84
28237:698,2917,17,302,654,76,616,58,8,866
3428:4414,285,699,17,495,1476,3223,493,1305,268
11378:301,986,698,1462,3028,4627,3522,298,2917,8870
4458:17,5363,787,6340,7178,3191,2976,2770,1348,1119
26238:500,5671,30993,11887,22207,20680,18669,17124,16286,16166
6883:224,596,124,1578,901,364,97,245,861,162
1407:1324,17,12471,9567,8860,7556,7334,7075,6455,5975
16113:17,4174,4904,194,892,2233,2369,510,449,1987
37849:17,302,654,76,616,58,8,866,84,29
51297:947,8322,6559,17,302,654,76,616,58,8
8931:1196,302,5998,422,189,4904,3223,495,1089,3233
12773:17,14750,14003,12776,10813,10640,10048,9853,8588,8511
28885:17,302,654,76,616,58,8,866,84,29
19443:33901,8,17,302,654,76,616,58,866,84
15490:78002,301,17,302,654,76,616,58,8,866
28484:7680,3632,2531,2241,1991,761,380,297,17,302
47345:8447,17,153,11861,9453,1995,2151,2976,3431,5819
3974:81362,38716,8258,669,965,4797,1410,5975,8694,17
33808:2614,669,20850,2310,2596,1756,4774,9435,13501,13726
15918:17,813,1243,2917,8276,20846,20458,20195,19696,19421
3572:2848,17,302,654,76,616,58,8,866,84
5329:19871,8,1119,654,302,17567,2935,13227,22980,22606
36585:301,6708,17,302,654,76,616,58,8,866
14697:2139,813,2917,4993,190,500,162,6,262,2265
2260:301,17,302,654,76,616,58,8,866,84
21080:17,114,103,2657,1987,2193,1240,1009,1243,3233
1891:17,5575,4174,3223,4414,1305,179,1937,495,1086
14069:866,692,2172,86,73,303,66,754,2018,5575
11360:17,302,654,76,616,58,8,866,84,29
15760:17,366,94,302,8579,1057,298,1161,947,4173
27116:10849,17,302,654,76,616,58,8,866,84
21585:5287,6387,2917,692,633,188,5575,1243,17131,6088
32822:698,1243,6901,14237,13060,12218,11223,10692,9043,8783
35730:17,1243,302,654,76,616,58,8,866,84
24331:301,1243,17,302,654,76,616,58,8,866
45069:5287,17,302,654,76,616,58,8,866,84
20379:17,15914,965,1161,2292,1965,4372,12442,901,302
21246:866,495,1476,3223,4414,1305,179,1086,1549,3234
27250:17,302,654,76,616,58,8,866,84,29
1141:17,1243,5612,8546,21380,21055,20916,20881,20458,19421
2369:5638,6098,301,986,698,4203,2934,6582,15157,3839
1295:15,6759,22606,76,1762,1424,530,431,5542,6011
17499:21279,1243,17,302,654,76,616,58,8,866
16020:7120,17,302,654,76,616,58,8,866,84
19774:17,1243,1600,302,654,76,616,58,8,866
34697:40543,226,1243,813,17,302,654,76,616,58
24750:58,866,1890,430,2018,633,5575,4904,4919,194
2815:301,2460,18669,12362,23370,22207,20680,30993,17124,16286
5904:698,13060,17,302,654,76,616,58,8,866
16132:698,944,3,2512,1832,813,500,2139,131,2200
49916:17,254,358,361,7194,4932,2139,302,654,76
5086:70,1231,3231,4904,496,199,40,986,486,650
3386:776,5747,10675,17,1243,2917,813,409,4173,743
8870:17,1762,1424,530,431,2185,5542,6011,2953,4996
18810:29,17,1424,530,5542,6011,2953,4996,1567,1866
11034:17,692,2172,86,73,303,66,754,2018,5575
26639:17,3131,813,4627,3522,2944,3028,4880,2139,302
27508:17,8579,521,22689,20806,18447,16258,15484,15398,13267
1402:302,1424,530,2185,5542,6011,2953,4996,1567,1866
757:698,364,1196,238,861,322,94,138,813,1243
39592:5253,224,17,302,654,76,616,58,8,866
16945:17,4627,3028,3522,302,654,76,616,58,8
32110:17,944,3,2512,1832,813,500,2139,131,2200
6135:224,3376,1243,813,1277,98,20195,848,917,20916
39967:17,731,40,500,262,2139,508,4032,1126,5567
31352:10143,224,17,302,654,76,616,58,8,866
11699:5403,301,17,302,654,76,616,58,8,866
17034:17,3131,2917,4173,546,65,2139,226,94,500
54114:17,1243,302,654,76,616,58,8,866,84
2453:17,813,302,654,76,616,58,8,866,84
4210:19984,17,73,86,1332,1527,101,6,1549,354
4875:5237,5214,654,692,2172,86,73,303,66,754
6110:17,302,654,76,616,58,8,866,84,29
25919:698,4880,2008,1164,17,302,654,76,616,58
8747:866,754,1762,1744,1187,2162,500,2139,3855,245
15773:17,302,654,76,616,58,8,866,84,29
52221:224,17,302,654,76,616,58,8,866,84
4637:224,1243,813,7680,1989,2547,5184,805,669,415
28543:301,1243,813,17,302,654,76,616,58,8
20473:669,14784,227,598,10610,9598,7225,812,5363,4907
17972:1477,17,754,1762,1744,1187,2162,500,2139,199
37342:17,1243,429,1239,239,302,654,76,616,58
20268:866,17,302,654,76,616,58,8,84,29
9757:17,1243,7029,3599,8232,21055,20916,20881,20458,19421
18836:749,1866,188,17,813,931,678,633,692,2618
3514:3915,302,1424,530,2185,5542,6011,2953,4996,1567
4682:698,813,2917,7225,6901,3148,3847,2600,2312,11223
5892:226,17,302,654,76,616,58,8,866,84
8054:873,46215,301,944,3,2512,1832,813,2139,3131
4357:698,944,3,2512,1832,813,500,2139,364,94
22372:224,944,3,2512,1832,813,500,2139,131,2200
55879:17,302,654,76,616,58,8,866,84,29
1192:17,1762,1424,530,431,2185,5542,6011,2953,4996
18698:81,1243,17,302,654,76,616,58,8,866
39232:18105,17,302,654,76,616,58,8,866,84
20735:224,1243,2917,813,8276,20916,20881,20846,20458,19421
41300:17,302,654,76,616,58,8,866,84,29
5562:17,1424,530,2185,5542,6011,2953,4996,1567,1866
36708:3101,1245,17,965,302,654,76,616,58,8
19498:12586,301,3522,6874,4275,4257,4173,13544,3505,1573
28973:17,1578,780,101,3323,354,70,3101,430,2733
27006:226,813,1243,2946,13917,11834,10451,10094,8066,7548
21401:5538,226,813,915,283,13895,12722,8151,25,14026
36607:698,17,302,654,76,616,58,8,866,84
48307:1825,17,813,1097,375,1359,4372,7306,14626,13959
19277:224,813,1243,18903,3599,7029,2265,10039,8384,8197
18711:7037,18291,17429,14961,14593,13704,10778,9347,9203,9080
31355:10038,17,302,654,76,616,58,8,866,84
2536:559,967,8683,17,1424,530,2185,5542,6011,4996
35150:17,1624,1960,3304,2944,3144,1444,2429,1475,2326
39594:568,17,302,654,76,616,58,8,866,84
41286:301,669,17,302,654,76,616,58,8,866
7214:763,1985,230,17,1476,554,3234,787,1462,363
488:43182,4478,1548,17,1762,1424,530,431,2185,5542
43178:669,4173,17,302,654,76,616,58,8,866
4132:5465,14202,17,803,493,268,2937,1822,2140,4904
1880:17,754,1762,1744,500,2139,875,1119,813,654
37177:224,2917,813,17,302,654,76,616,58,8
22603:698,875,1057,496,891,1187,947,1410,48,2162
12559:4837,2162,710,6450,875,1119,1243,1890,654,430
11149:302,1762,431,891,398,1187,2162,495,1476,3223
9225:71228,17,14237,7029,5612,1161,1592,3549,3599,546
14219:5355,81,7471,16036,15442,14370,13975,13732,13586,13458
26458:2703,17,302,654,76,616,58,8,866,84
19241:302,114,103,1023,1890,1382,430,2018,633,5575
949:1790,17,302,654,76,616,58,8,866,84
2981:1217,1455,76,1424,530,2185,5542,6011,2953,4996
14681:698,5363,17,302,654,76,616,58,8,866
2558:9247,12254,74498,947,1424,530,2185,5542,6011,2953
6292:224,2917,5582,5389,15534,15522,15157,14617,13863,13523
44165:224,17,302,654,76,616,58,8,866,84
28520:8,17,302,654,76,616,58,866,84,29
38983:17,302,654,76,616,58,8,866,84,29
8032:698,5567,1508,1462,1558,2030,1987,402,1471,124
14139:761,56398,3377,8,1231,3231,1624,1960,490,4967
6270:2280,19132,22192,17,578,2917,813,3028,965,5582
31130:226,17,302,654,76,616,58,8,866,84
25951:224,17,302,654,76,616,58,8,866,84
32647:669,32,363,182,162,736,236,1344,364,1102
1405:8,17,302,654,76,616,58,866,84,29
3416:12522,8,17,302,654,76,616,58,866,84
8499:12117,17,1205,2557,8873,1886,11535,931,2583,18903
16568:669,813,1845,17,302,654,76,616,58,8
12406:986,12710,224,754,1762,1744,1187,2162,500,2139
11990:6503,813,1243,17,302,654,76,616,58,8
38967:698,4173,17,302,654,76,616,58,8,866
33539:378,13065,736,7146,14259,14147,13660,12811,12625,10850
14582:302,1424,530,2185,5542,6011,2953,4996,1567,1866
12084:8730,17,692,2172,86,73,303,66,754,5575
161:1926,179,9581,224,1424,530,2185,5542,6011,2953
5449:27264,8,2917,813,3028,4627,3522,5663,3137,698
45936:9354,1161,17,302,654,76,616,58,8,866
42461:224,1876,17,302,654,76,616,58,8,866
33045:17,22308,20195,15507,15141,14626,12859,12253,12223,11941
4779:116,1382,378,17,8579,1057,1871,748,9311,1845
13893:533,669,2917,5689,14961,14593,13704,17429,807,10778
13106:3148,813,17,302,654,76,616,58,8,866
47815:17,302,654,76,616,58,8,866,84,29
26383:669,17,302,654,76,616,58,8,866,84
8916:17,418,813,965,1243,1240,3131,13074,7312,15522
51929:8,1243,17,302,654,76,616,58,866,84
10339:559,875,9617,654,1762,431,891,2162,692,2172
24418:669,1243,965,5363,3549,2318,2547,5184,1989,5468
12595:6559,81,8322,9635,16188,16107,14960,13863,13599,13400
19781:17,1476,554,3234,787,1462,363,245,1187,2162
21713:698,1890,430,2018,5575,633,4904,4919,194,2233
39050:14464,17,15914,302,654,76,616,58,8,866
42470:68417,17,302,654,76,616,58,8,866,84
18284:14202,17,4174,4904,194,892,2233,2369,510,449
11856:70,827,3107,6793,14237,578,2917,15914,731,1344
21934:2467,17,3354,10707,10686,8445,829,7029,1534,5996
37767:16964,17,302,654,76,616,58,8,866,84
22888:2369,17,1424,530,2185,5542,6011,2953,4996,1567
21266:301,1140,2030,726,495,6,289,554,787,1890
5923:10930,1196,17,1231,3231,162,3323,4904,859,496
12263:17164,17,803,493,268,2937,1822,2140,1190,3233
51833:226,813,17,302,654,76,616,58,8,866
817:749,76,1762,1424,530,431,2185,5542,6011,2953
36261:224,17,302,654,76,616,58,8,866,84
10364:17,3472,302,654,76,616,58,8,866,84
41508:8,13074,17,302,654,76,616,58,866,84
2346:17,986,698,1462,780,902,322,285,500,1109
20912:8574,17,302,654,76,616,58,8,866,84
25977:1352,3107,10041,1592,2917,7831,1256,17,302,654
20166:17,15914,2168,7624,15,542,564,1119,8213,11039
4745:17,967,1558,866,1762,1424,530,2185,6011,2953
24129:17,944,3,2512,1832,813,500,2139,131,2200
11394:17,1342,24568,1281,1407,18447,1243,15398,13959,13267
18068:8,1243,813,17,302,654,76,616,58,866
5325:99343,226,2917,1243,2939,5103,7548,10094,2852,10451
38080:74775,224,6901,17,302,654,76,616,58,8
2861:46215,669,813,1299,4181,3172,2495,278,345,1243
33258:9537,17,302,654,76,616,58,8,866,84
21979:20850,17,2596,2310,1756,4774,9435,13501,13726,12859
28189:17,965,1382,9203,7700,7312,6759,5998,4414,4374
2925:698,18903,13074,1243,4173,1161,6292,6901,2626,2338
28216:14500,8,813,7029,3599,6708,8566,17,302,654
49872:947,8322,6559,17,302,654,76,616,58,8
8537:1568,14202,17,326,1180,530,840,2917,5542,11941
2211:8069,754,1762,1744,1187,2162,500,2139,1592,1965
2518:3928,698,2917,813,6527,9572,7585,10600,352,965
402:4793,3304,16056,302,4174,1476,3223,4414,1305,4904
5863:3915,17,4993,14237,13273,12727,12360,11834,11223,8983
35850:17,4627,3028,3522,162,1451,9567,9080,8483,7578
15278:17,114,103,2657,1987,2193,931,3233,947,483
29882:65757,17,302,654,76,616,58,8,866,84
9141:1352,2880,1527,4993,1243,1206,17,302,654,76
7467:22606,3632,23813,698,803,493,268,2937,1822,2140
44097:224,5731,3819,3631,2843,2552,2430,1091,813,560
3426:17,2172,692,2733,1403,999,1140,1023,642,262
15385:654,49217,3,76,692,2172,86,73,303,66
25719:302,1389,1890,430,2018,5575,633,4919,4904,194
16833:62840,11401,39936,224,15914,17,302,654,76,616
43799:20224,17,302,654,76,616,58,8,866,84
17925:4308,4204,4048,3191,2416,1521,725,614,388,221
3988:11243,17,5567,827,3107,2548,5117,4967,2557,1508
10707:10682,17,396,24568,960,1074,18447,1161,1173,15398
22887:17,803,493,268,2937,1822,2140,3233,3234,1462
48593:3177,301,760,813,1622,855,1966,1936,4171,4481
2290:65,94,15,866,1762,530,431,5542,6011,2953
12780:2980,17,8946,7956,7841,1243,2166,3534,913,5480
7351:236,17,302,654,76,616,58,8,866,84
20183:224,1592,1243,2917,7680,1989,2547,5184,805,669
12795:1395,17,692,2172,86,73,303,66,754,2018
27579:224,3376,2917,813,1845,447,5582,65,6455,9800
3346:2375,81,364,94,2917,103,861,409,1103,1240
23692:698,965,6901,13060,17,302,654,76,616,58
34054:331,17,4456,3711,302,654,76,616,58,8
17936:4671,17,8725,3159,2677,1100,661,563,302,654
7137:301,813,2917,1243,7680,1592,2547,669,415,225
36358:17,1578,780,101,5582,3323,354,2917,70,3101
38888:17,813,965,13060,302,654,76,616,58,8
26250:83193,17,302,654,76,616,58,8,866,84
22003:17,1119,48,4627,3028,2917,3522,182,496,131
17749:650,358,1890,430,2018,633,5575,4904,4919,194
25181:1352,10041,2880,813,1243,1527,5624,1923,17,302
15308:669,1243,5607,8983,8870,1589,6097,14237,1760,3375
47857:14003,14750,12776,10813,10640,10048,9853,8588,8511,7548
5765:17,1231,3231,1624,1960,490,4967,3304,2944,3144
4265:17,6894,1979,9480,8870,8276,14758,6759,6673,6284
7787:17,1231,3231,4904,496,199,40,364,238,322
29468:13969,17,37099,33475,30094,28686,27977,27500,27125,25635
39731:2031,8873,7048,6901,1435,17,302,654,76,616
29725:698,2917,1243,17,302,654,76,616,58,8
13312:654,692,2172,86,303,66,754,2018,5575,1362
24339:33494,224,17,302,654,76,616,58,8,866
24775:1614,17,3704,2425,1046,302,654,76,616,58
11552:866,1890,430,2018,5575,633,4919,4904,194,690
20553:17,1424,530,2185,5542,6011,2953,4996,1567,1866
43729:17,302,654,76,616,58,8,866,84,29
874:1696,81912,9617,302,1424,530,2185,5542,2953,4996
13666:224,944,3,2512,1832,813,500,2139,358,131
49063:301,719,168,17,302,654,76,616,58,8
3360:2097,1039,12859,866,908,754,1762,1744,1187,2162
44179:224,17,302,654,76,616,58,8,866,84
28992:42212,17,302,654,76,616,58,8,866,84
11670:7029,17,32,162,1344,10707,8445,1886,10686,5996
69:813,14551,9931,81,1762,431,398,1187,2162,268
40507:262,17,302,654,76,616,58,8,866,84
39052:925,2583,17,302,654,76,616,58,8,866
8900:1403,302,1890,409,430,2018,5575,633,4919,4904
22080:301,17,302,654,76,616,58,8,866,84
24413:866,749,1890,430,2018,5575,633,4919,4904,194
3529:669,17,302,654,76,616,58,8,866,84
5536:3409,17,3308,1243,21055,208,1776,2588,215,427
19410:5466,226,30094,19696,17265,14003,13863,13498,12259,11720
24673:301,2917,17,302,654,76,616,58,8,866
3013:669,521,11535,7006,13074,298,12625,14626,8870,447
10194:17615,500,1762,431,891,398,1187,2162,803,493
8774:58,2266,6837,17,1762,431,891,398,1187,2162
11781:8730,119,17,1762,692,2172,86,73,303,66
19062:36134,13419,17,3017,1240,2593,37,15720,14885,19871
39876:17,302,654,76,616,58,8,866,84,29
37816:17,18903,4173,5111,11467,13312,3955,2778,2685,302
2959:7869,944,17,813,1243,7178,19696,17265,15522,15182
3170:17,5567,1508,1558,2030,1987,1471,1276,496,1764
21908:709,302,495,1476,3223,4414,1305,179,1086,1549
36563:301,15914,2292,12442,1965,901,17,302,654,76
20932:226,17,302,654,76,616,58,8,866,84
40538:669,32,162,1344,1102,1050,190,361,358,1578
24786:224,10695,6455,1790,1551,1449,1074,1066,17,302
34837:826,2193,1764,17,302,654,76,616,58,8
2076:17,302,654,76,616,58,8,866,84,29
39003:27407,17,302,654,76,616,58,8,866,84
15866:650,17,124,901,364,861,236,3231,289,1102
12328:17,754,1762,1744,500,2139,364,238,322,94
10275:6129,301,2917,813,3028,1243,4627,3522,15337,1885
40262:2703,17,302,654,76,616,58,8,866,84
16467:38295,17,3028,4627,3522,1220,6210,8483,2769,1451
44658:2265,17,302,654,76,616,58,8,866,84
13961:8,17,302,654,76,616,58,866,84,29
50715:17,2917,4828,16288,15534,15522,15157,14617,13863,13523
3429:302,495,4174,1476,3223,4414,4904,179,194,892
4007:301,813,1243,1030,4907,8384,8197,7680,7471,7334
23111:17,944,3,2512,1832,813,500,2139,131,2200
12956:19912,669,363,182,736,236,364,45,554,787
14784:301,168,17,302,654,76,616,58,8,866
17905:17,1592,302,654,76,616,58,8,866,84
17415:17,4828,4203,302,654,76,616,58,8,866
14791:301,1578,780,168,101,4940,3323,354,813,2917
9580:63579,17,1403,1023,642,656,356,4181,363,1511
12892:866,1614,1220,1693,1357,189,4904,194,2233,2302
11716:2337,866,1890,430,2018,5575,633,4904,4919,194
225:32619,353,3476,302,1220,1693,6450,1357,596,3389
25861:944,17,302,654,76,616,58,8,866,84
5364:2139,1403,944,3,2512,1023,1832,813,642,500
8227:17,15914,302,654,76,616,58,8,866,84
6950:23335,17,302,654,76,616,58,8,866,84
39429:1091,7457,3509,17,302,654,76,616,58,8
22755:17,1592,2657,7048,5699,1256,873,431,131,302
39821:226,2917,6559,669,225,17,302,654,76,616
24945:1069,1499,17,302,654,76,616,58,8,866
26641:17,1243,2168,7624,5363,23610,7029,5286,4542,3855
31010:47623,6503,17,302,654,76,616,58,8,866
31239:7680,3632,2531,2241,1991,761,380,297,17,302
2399:17,754,1762,1744,8579,1187,2162,1476,5567,554
6274:698,17,302,654,76,616,58,8,866,84
4919:559,17,1624,1960,3304,2944,3144,2429,1475,2326
10820:17,2917,5582,4210,4288,5303,7231,554,114,302
22299:4339,224,2769,10012,8187,6837,6243,5495,5025,20288
26349:14277,698,17,302,654,76,616,58,8,866
28108:17,944,3,2512,1832,813,500,2139,131,2200
4134:669,2917,1243,13420,509,17,302,654,76,616
29781:301,813,3601,16188,14593,13567,10648,9024,8733,8252
14120:17,1476,4174,554,3234,787,1462,363,245,596
35859:224,1243,17,302,654,76,616,58,8,866
1561:4174,902,19984,17,1424,530,2185,5542,6011,2953
1083:1034,17,1243,302,654,76,616,58,8,866
44096:17,302,654,76,616,58,8,866,84,29
6898:709,17,1231,3231,4904,944,3,496,2512,199
21737:2548,1243,2679,646,928,937,965,1014,1165,1195
23340:17,302,654,76,616,58,8,866,84,29
11022:244,866,1190,1951,4967,1987,2955,1890,409,2268
19463:24432,17,302,654,76,616,58,8,866,84
14057:65362,17,429,301,1614,1220,1693,1357,645,430
39580:17,5612,14998,1592,4940,1140,146,4268,103,239
15434:17,944,3,2512,1832,813,500,2139,131,2200
18127:17,3028,4627,3522,2917,3265,358,813,731,1344
11603:17,189,1403,1023,642,4755,837,656,356,4181
16185:2268,17,2338,303,533,731,3144,13074,4034,6793
5896:301,813,17,302,654,76,616,58,8,866
44162:8,17,302,654,76,616,58,866,84,29
42976:224,17,302,654,76,616,58,8,866,84
2709:238,1389,65,17,3107,189,4755,402,837,363
