16891:20302,17,65,709,559,116,14202,119,8276,18867
16896:780,28953,7305,116336,6916,17,302,65,709,559
16898:17,65,709,559,116,14202,119,8276,18867,1039
16918:101968,110448,90678,26570,301,17,65,709,559,116
16926:65,6759,302,654,58,11719,17,76,709,559
16929:16753,118285,25916,34662,9068,224,17,65,709,559
16945:17,302,65,709,559,116,14202,119,8276,18867
16954:3223,4522,84,1951,101,2268,185,669,17,65
16961:38682,74792,39046,67162,108436,301,17,65,709,559
16972:20417,17,65,709,559,116,14202,119,8276,18867
16980:11626,45805,77438,82453,95328,669,17,65,709,559
16983:189,654,861,5767,591,17,302,65,709,559
16993:4326,302,58,654,79539,17,76,65,709,559
17006:29,709,654,616,302,289,6691,17,76,65
17007:654,29,8,58,1762,76,17,65,709,559
17008:94039,1731,7323,99111,1287,17,302,65,709,559
17020:72613,92976,75081,56272,113292,17,302,65,709,559
17034:418,866,116449,79374,1728,17,302,65,709,559
17053:27,118024,123342,158,224,17,65,709,559,116
17056:189,3389,654,29,17,302,65,709,559,116
17074:13696,37082,95682,102939,4639,301,17,65,709,559
17079:101309,91694,23316,104608,17,302,65,709,559,116
17097:2583,931,30411,31824,17,302,65,709,559,116
17099:861,58,654,302,17,76,65,709,559,116
17115:9979,115489,26592,122417,29688,8,17,65,709,559
17116:11341,117302,11378,115995,3282,8,17,65,709,559
17117:113877,9212,32311,55244,5287,17,65,709,559,116
17118:568,18867,58,554,1804,518,20351,669,17,65
17147:70085,110530,1250,44383,1986,224,17,65,709,559
17154:120731,24225,24016,23755,81,17,65,709,559,116
17158:7848,26103,35862,40310,669,17,65,709,559,116
17159:2618,60391,103,1410,77719,102325,17,302,65,709
17164:226,138,19224,21593,5287,17,65,709,559,116
17165:1089,1109,103,209,15,1023,736,17,65,709
17178:17,65,709,559,116,14202,119,8276,18867,1039
17191:18867,115363,109041,106269,103035,500,17,65,709,559
17193:51158,354,873,44474,30411,226,17,65,709,559
17195:86747,302,490,3234,36028,9695,17,654,65,709
17208:78,108,118,172,17,302,65,709,559,116
17241:1057,86,8579,131,20872,17,302,65,709,559
17243:226,138,19224,13826,301,17,65,709,559,116
17251:10622,107451,87664,87650,18597,8,17,65,709,559
17254:224,17,65,709,559,116,14202,119,8276,18867
17266:3107,302,58,29,17,654,65,709,559,116
17267:168,40617,82026,97995,17,302,65,709,559,116
17272:654,616,302,289,866,17,65,709,559,116
17278:2714,2696,1827,774,840,17,65,709,559,116
17279:173,368,464,123341,669,17,65,709,559,116
17285:1679,123344,17,84,97,302,654,65,709,559
17297:7471,94039,94008,93407,9501,17,302,65,709,559
17328:32,1764,790,2935,564,32132,3487,17,302,65
17358:14129,1103,302,654,84,483,21394,76,17,65
17363:2714,2403,2696,1827,508,17,302,65,709,559
17378:17,302,65,709,559,116,14202,119,8276,18867
17412:89220,65056,15891,745,8,17,65,709,559,116
17415:18362,50897,54929,18369,4828,17,302,65,709,559
17418:40013,301,17,65,709,559,116,14202,119,8276
17426:16350,17,65,709,559,116,14202,119,8276,18867
17440:41141,6901,15,616,364,518,16697,301,17,65
17448:301,17,65,709,559,116,14202,119,8276,18867
17461:34404,78598,62081,669,17,65,709,559,116,14202
17473:105901,86748,114691,8671,698,17,65,709,559,116
17474:1389,83367,53016,38891,31315,698,17,65,709,559
17475:650,302,616,29,289,301,76,17,65,709
17477:6824,10039,564,75617,75337,4425,17,302,65,709
17484:17,65,709,559,116,14202,119,8276,18867,1039
17492:654,58,84,616,239,866,17,65,709,559
17498:17,65,709,559,116,14202,119,8276,18867,1039
17499:21279,17,65,709,559,116,14202,119,8276,18867
17513:564,33943,13739,75617,12223,17,302,65,709,559
17522:1410,18122,52992,89484,669,17,65,709,559,116
17528:61,616,364,322,17,302,65,709,559,116
17530:96678,99396,92488,123260,17,302,65,709,559,116
17547:12253,49106,76409,113400,42928,21367,17,302,65,709
17549:39936,11401,11281,337,17,302,65,709,559,116
17551:790,2935,4364,16927,31410,17,302,65,709,559
17556:112948,109097,24982,1888,35088,5048,17,65,709,559
17562:1109,103,209,15,2101,17,302,65,709,559
17576:353,118964,120205,63253,669,17,65,709,559,116
17579:866,17,65,709,559,116,14202,119,8276,18867
17591:669,17,65,709,559,116,14202,119,8276,18867
17592:919,11835,101442,17952,3599,301,17,65,709,559
17606:1527,1827,2696,2403,12479,17,302,65,709,559
17620:59583,28191,17,302,65,709,559,116,14202,119
17624:84,518,302,1762,239,866,17,65,709,559
17625:1168,10041,1352,2880,2021,947,17,65,709,559
17626:1057,86,8579,97995,20776,698,17,65,709,559
17642:3730,17,302,65,709,559,116,14202,119,8276
17653:16110,110532,26988,29270,17,302,65,709,559,116
17671:66268,91943,63055,85488,167,17,302,65,709,559
17688:3915,518,84,302,654,1790,226,17,65,709
17689:97,518,302,1762,654,29,866,17,65,709
17695:302,654,84,58,10142,866,17,65,709,559
17716:118722,94308,83315,53339,25956,669,17,65,709,559
17731:21666,83875,13109,87,6503,17,65,709,559,116
17749:1389,302,654,84,20652,650,17,65,709,559
17753:2467,8730,3389,654,29,364,7257,17,302,65
17779:302,654,84,58,239,866,17,65,709,559
17792:21758,17,302,65,709,559,116,14202,119,8276
17798:102412,114065,112341,123341,2479,224,17,65,709,559
17810:79094,36222,108505,107867,17,302,65,709,559,116
17812:2714,2696,1827,48,14960,302,17,65,709,559
17813:105557,104952,715,2418,4205,17,302,65,709,559
17831:173,230,368,123341,224,17,65,709,559,116
17844:22002,92488,123260,90927,1514,17,302,65,709,559
17863:21875,17,65,709,559,116,14202,119,8276,18867
17867:17,65,709,559,116,14202,119,8276,18867,1039
17869:158,290,123342,329,16305,224,17,65,709,559
17890:37143,24548,9,228,698,17,65,709,559,116
17897:2059,29,58,616,84,76,17,65,709,559
17905:75970,18416,35219,17735,17,302,65,709,559,116
17919:98499,108541,108943,78578,17,302,65,709,559,116
17921:3389,89847,60905,1187,17,302,65,709,559,116
17922:34143,2583,931,107779,58989,6190,81,17,65,709
17925:4308,17,65,709,559,116,14202,119,8276,18867
17926:21981,17,65,709,559,116,14202,119,8276,18867
17936:4671,17,302,65,709,559,116,14202,119,8276
17937:2848,17,65,709,559,116,14202,119,8276,18867
17972:1477,226,138,13826,19224,17,302,65,709,559
17974:4573,17,302,65,709,559,116,14202,119,8276
17993:20028,85561,63512,90864,534,17,302,65,709,559
18005:35486,17,65,709,559,116,14202,119,8276,18867
18030:1102,8,518,302,138,17,654,65,709,559
18039:10647,8,4755,84,101,12223,17,302,65,709
18042:103364,53955,56360,62918,301,17,65,709,559,116
18046:22160,25034,74553,76292,301,17,65,709,559,116
18068:120409,26292,8,17,65,709,559,116,14202,119
18070:2714,2696,1827,2403,1598,17,302,65,709,559
18089:70086,32827,301,17,65,709,559,116,14202,119
18090:113594,57762,36165,26646,710,17,65,709,559,116
18101:99903,70996,23489,28092,224,17,65,709,559,116
18123:866,55906,75000,30906,546,17,302,65,709,559
18127:82087,113913,114585,8763,12145,17,302,65,709,559
18133:2714,2696,1827,774,17,302,65,709,559,116
18146:79260,71487,38395,32278,5471,17,302,65,709,559
18147:947,1187,302,654,84,5117,669,17,65,709
18163:189,837,4755,239,17,302,65,709,559,116
18165:95844,114284,100427,96689,1684,17,302,65,709,559
18166:353,596,302,58,1951,669,17,65,709,559
18182:302,654,84,58,301,17,65,709,559,116
18186:1744,48,1102,899,1086,496,669,17,65,709
18187:96781,24699,77657,63510,17,302,65,709,559,116
18195:17,302,65,709,559,116,14202,119,8276,18867
18200:109442,73316,122912,81090,224,17,65,709,559,116
18204:1323,1632,1669,1709,177,224,17,65,709,559
18208:8066,30533,16095,28450,36014,109179,669,17,65,709
18209:81399,75946,67745,115887,17,302,65,709,559,116
18211:60815,2403,1827,1102,1057,301,947,17,65,709
18212:2964,21154,27383,36325,564,17,302,65,709,559
18261:81,17,65,709,559,116,14202,119,8276,18867
18272:17,65,709,559,116,14202,119,8276,18867,1039
18273:14251,780,28953,96720,12586,224,17,65,709,559
18284:14202,289,1951,654,616,3631,17,302,65,709
18306:220,1360,510,302,58,29,21719,17,654,65
18311:101422,112948,45231,112057,7585,17,302,65,709,559
18316:94176,73150,38766,17,302,65,709,559,116,14202
18322:189,4755,837,68561,19697,5287,17,65,709,559
18334:866,17,65,709,559,116,14202,119,8276,18867
18337:654,616,302,289,12223,17,76,65,709,559
18360:124,226,3233,138,34794,224,17,65,709,559
18365:1091,17,65,709,559,116,14202,119,8276,18867
18384:591,861,58,654,302,669,17,65,709,559
18392:11604,6353,861,58,654,302,3913,17,76,65
18394:58929,23080,368,123341,500,17,65,709,559,116
18404:5345,364,596,302,58,16271,17,654,65,709
18405:51318,88698,115732,100662,81,17,65,709,559,116
18411:18867,22,80075,73177,121630,5910,1326,81,17,65
18416:30991,71,230,873,935,301,17,65,709,559
18417:418,302,861,58,3234,654,17,65,709,559
18433:4308,17,65,709,559,116,14202,119,8276,18867
18491:8,120784,97995,86031,82026,138,17,302,65,709
18496:184,566,652,971,301,17,65,709,559,116
18505:5160,1527,85587,121229,118706,17,302,65,709,559
18510:654,2403,2714,2696,774,302,17,76,65,709
18525:84433,301,17,65,709,559,116,14202,119,8276
18545:73225,1410,34469,45995,6157,17,302,65,709,559
18561:101728,17171,93685,89938,9914,226,17,65,709,559
18571:97,8276,654,29,58,17,3234,866,302,65
18616:650,302,654,84,58,239,866,17,65,709
18639:1462,70,654,354,449,17,302,65,709,559
18648:440,23148,76010,80541,67876,5048,17,65,709,559
18657:18160,94153,94050,111745,408,17,302,65,709,559
18663:182,224,95579,87159,21410,17,302,65,709,559
18666:564,22683,75617,82677,12223,17,302,65,709,559
18686:2614,11626,1205,564,75617,13739,669,17,65,709
18690:8066,353,94752,109328,12747,669,17,65,709,559
18697:189,593,896,1597,8,17,65,709,559,116
18698:81,17,65,709,559,116,14202,119,8276,18867
18707:2405,17,65,709,559,116,14202,119,8276,18867
18709:1403,4904,61,58808,8055,17,302,65,709,559
18711:7037,17,65,709,559,116,14202,119,8276,18867
18712:38152,59616,593,896,1236,1597,5287,17,65,709
18713:10039,224,17,65,709,559,116,14202,119,8276
18766:654,29,58,84,3234,76,17,65,709,559
18810:29,302,101,6759,17,394,76,654,65,709
18815:32285,1730,89484,18943,22250,30993,301,17,65,709
18823:13449,99305,112476,106593,93839,114,17,302,65,709
18827:115925,69471,115122,25308,14147,301,17,65,709,559
18836:749,1866,2583,168,931,56062,17,302,65,709
18845:2361,3632,6759,726,4268,32,15337,17,302,65
18852:57773,108395,122004,100482,18877,17,302,65,709,559
18885:15854,16799,18122,18199,224,17,65,709,559,116
18887:698,17,65,709,559,116,14202,119,8276,18867
18901:77914,289,654,29,58,84,11208,76,17,65
18944:67153,98498,92508,37715,24590,301,17,65,709,559
18965:9788,28209,101347,109033,80630,301,17,65,709,559
18999:6759,17,65,709,559,116,14202,119,8276,18867
19001:302,654,84,58,5779,76,17,65,709,559
19006:62,17,65,709,559,116,14202,119,8276,18867
19010:3017,654,58,17,3,76,302,65,709,559
19019:901,116,1389,32,1462,70,42977,17,302,65
19022:780,90231,96720,116336,70,17,65,709,559,116
19025:76,17,65,709,559,116,14202,119,8276,18867
19030:70,17,302,65,709,559,116,14202,119,8276
19032:2583,931,564,75617,431,224,17,65,709,559
19043:9354,17,65,709,559,116,14202,119,8276,18867
19046:17,65,709,559,116,14202,119,8276,18867,1039
19048:81028,21455,130,137,29202,17,302,65,709,559
19049:774,44463,51008,21453,970,8,17,65,709,559
19050:17,65,709,559,116,14202,119,8276,18867,1039
19051:654,19615,29,58,17,84,1511,76,302,65
19062:36134,13419,3017,168,96748,103778,891,17,302,65
19065:95165,121315,20520,26,34309,8,17,65,709,559
19069:10660,177,605,997,1323,2548,17,65,709,559
19070:23791,17,65,709,559,116,14202,119,8276,18867
19094:100700,75893,87430,89023,4239,224,17,65,709,559
19095:94672,88061,82519,81733,1239,17,302,65,709,559
19096:1039,213,118564,41296,40104,17,302,65,709,559
19097:63554,58169,49342,52969,698,17,65,709,559,116
19102:58,654,29,1086,861,15,76,17,65,709
19129:8342,17,65,709,559,116,14202,119,8276,18867
19130:34752,402,564,84,32,9691,226,17,65,709
19144:50270,94018,120697,79876,9592,17,302,65,709,559
19148:36432,17750,68,156,947,17,65,709,559,116
19156:24,67,274,316,5287,17,65,709,559,116
19163:10041,837,1527,2880,4060,5287,17,65,709,559
19165:11043,96054,94635,5404,947,17,302,65,709,559
19174:62,35750,14785,6040,17,302,65,709,559,116
19176:109412,103592,26128,13708,28980,226,17,65,709,559
19178:1389,83367,38891,117051,33572,698,17,65,709,559
19184:18768,17,65,709,559,116,14202,119,8276,18867
19185:38470,8,17,65,709,559,116,14202,119,8276
19198:659,168,2714,2696,1827,774,301,17,65,709
19199:4755,3107,1352,57652,113783,17,302,65,709,559
19240:56785,69503,21689,89773,17,302,65,709,559,116
19241:302,654,84,58,76,17,65,709,559,116
19243:506,104832,1627,8609,17,302,65,709,559,116
19244:301,17,65,709,559,116,14202,119,8276,18867
19246:4018,146,302,654,1403,76,17,65,709,559
19259:100192,113052,117821,45778,224,17,65,709,559,116
19262:45163,12272,301,17,65,709,559,116,14202,119
19265:1475,98689,98172,96895,92533,1535,17,302,65,709
19276:596,58,35651,45035,17,302,65,709,559,116
19277:2030,363,84594,102325,24752,224,17,65,709,559
19304:17,302,65,709,559,116,14202,119,8276,18867
19307:66613,53761,20176,118,5097,224,17,65,709,559
19308:84,302,1762,654,12223,616,17,65,709,559
19309:1187,2162,875,891,496,17,302,65,709,559
19320:10041,1352,1527,2880,301,17,65,709,559,116
19328:36432,17744,68,156,301,17,65,709,559,116
19343:61118,26455,225,274,224,17,65,709,559,116
19354:9,876,938,975,224,17,65,709,559,116
19355:56866,104961,63163,72751,698,17,65,709,559,116
19356:59903,23320,228,347,698,17,65,709,559,116
19357:113529,52989,25732,274,84430,301,17,65,709,559
19400:861,58,302,654,591,76,17,65,709,559
19405:10333,301,17,65,709,559,116,14202,119,8276
19410:5466,15356,25430,78377,27250,226,17,65,709,559
19422:564,13739,75617,82677,698,17,65,709,559,116
19433:17,65,709,559,116,14202,119,8276,18867,1039
19434:24854,117315,16156,114919,33303,698,17,65,709,559
19443:33901,8,17,65,709,559,116,14202,119,8276
19444:158,168,231,290,38545,17,302,65,709,559
19446:1382,25827,122149,77726,17,302,65,709,559,116
19447:102071,110008,29433,36838,30982,17,302,65,709,559
